"age","estimate","ci_low","ci_high","ethnicity","measure","outcome"
"60-74",238.528543575701,129.124681704129,338.349607289327,"Other","SII","poor GH"
"75",-25.5789863957898,-276.095104765086,232.090335177034,"Other","SII","poor GH"
"0-64",75.3882522502474,59.1143474329632,91.1811595073838,"Other","SII","poor GH"
"all",82.5168753873712,52.3635930601694,112.633462805153,"Other","SII","poor GH"
"0-14",0.52883153085332,0.0615508223903062,1.02258020389667,"African","RII","LLTI"
"15-29",0.186597357994321,-0.324301715581066,0.63141198949247,"African","RII","LLTI"
"30-44",0.838853425047884,0.570082728934139,1.11772955399862,"African","RII","LLTI"
"45-59",0.558546794193918,0.113290969030852,0.990805232504634,"African","RII","LLTI"
"60-74",0.778367221976038,0.234823932256775,1.30801776137387,"African","RII","LLTI"
"75",0.340564873449556,-0.487113914117835,1.2170503625438,"African","RII","LLTI"
"0-64",0.695639576368078,0.421004251282305,0.969887737159059,"African","RII","LLTI"
"all",0.581914664780003,0.19918795105655,0.96388323589404,"African","RII","LLTI"
"0-14",0.333717530309691,-0.233625744927386,0.947265590043754,"Indian","RII","LLTI"
"15-29",-0.0727361961828694,-0.557432382550052,0.374680116075809,"Indian","RII","LLTI"
"30-44",0.259266697081949,-0.0869448506177041,0.588195359815633,"Indian","RII","LLTI"
"45-59",0.999001155766518,0.721553881492798,1.28466716985011,"Indian","RII","LLTI"
"60-74",0.514063717505538,0.217393570548849,0.805959265629828,"Indian","RII","LLTI"
"75",0.160578592142734,-0.223432885648795,0.537805342960925,"Indian","RII","LLTI"
"0-64",0.677347561088107,0.497086477056208,0.888050966449315,"Indian","RII","LLTI"
"all",0.441910516574897,0.261331592256425,0.61436639047282,"Indian","RII","LLTI"
"0-14",0.533311639299186,-0.028958167681998,1.10987544325483,"Other Asian","RII","LLTI"
"15-29",0.325640428780773,-0.0878511715754806,0.773014561219476,"Other Asian","RII","LLTI"
"30-44",0.985324019750671,0.634770613875533,1.30650994235468,"Other Asian","RII","LLTI"
"45-59",0.875634876451292,0.527115788518345,1.21617142017457,"Other Asian","RII","LLTI"
"60-74",0.54461804784815,0.0772044976454759,1.01866036810172,"Other Asian","RII","LLTI"
"75",-0.0268750855401006,-0.713487021229163,0.696738322742091,"Other Asian","RII","LLTI"
"0-64",0.621953728848597,0.398664819331416,0.847621521698053,"Other Asian","RII","LLTI"
"all",0.454530531210218,0.163212919081675,0.732224560209484,"Other Asian","RII","LLTI"
"0-14",0.166626731401262,-0.108837926039759,0.445200163092234,"Pakistani","RII","LLTI"
"15-29",0.229781252488357,-0.00400748056335301,0.469638001022136,"Pakistani","RII","LLTI"
"30-44",0.63114607589239,0.460260595949453,0.808851926978517,"Pakistani","RII","LLTI"
"45-59",0.650735453479425,0.49066424771275,0.814060793911591,"Pakistani","RII","LLTI"
"60-74",0.225298534167815,0.0445948247580141,0.417501243282921,"Pakistani","RII","LLTI"
"75",-0.169106451703213,-0.467771225315475,0.122355740855213,"Pakistani","RII","LLTI"
"0-64",0.541954490599397,0.435177689786567,0.654974066172581,"Pakistani","RII","LLTI"
"all",0.276539134608716,0.171943557010994,0.381111301051844,"Pakistani","RII","LLTI"
"0-14",0.300962744651486,0.0829558348309542,0.530149915114915,"Asian (total)","RII","LLTI"
"15-29",0.292289986688719,0.115505525123903,0.459734662739012,"Asian (total)","RII","LLTI"
"30-44",0.720531064204155,0.585139921034714,0.854822964502967,"Asian (total)","RII","LLTI"
"45-59",0.749677231891583,0.633518614962235,0.870755080524927,"Asian (total)","RII","LLTI"
"60-74",0.358270859193488,0.21235946781978,0.483829471729966,"Asian (total)","RII","LLTI"
"75",0.0250805510439859,-0.156774867527725,0.211111224240555,"Asian (total)","RII","LLTI"
"0-64",0.613153555030391,0.523551534921723,0.695800967505323,"Asian (total)","RII","LLTI"
"all",0.363908874118136,0.290457918966,0.443270431899557,"Asian (total)","RII","LLTI"
"0-14",0.664998921526336,0.0904635363063752,1.25848008185213,"White Irish","RII","LLTI"
"15-29",1.21270672116674,0.869380373804098,1.52807361043228,"White Irish","RII","LLTI"
"30-44",1.76233645048946,1.54426847253372,1.97315464202522,"White Irish","RII","LLTI"
"45-59",1.44869705472564,1.289650247849,1.5947565370459,"White Irish","RII","LLTI"
"60-74",0.791777735333714,0.680864270699915,0.902262834583207,"White Irish","RII","LLTI"
"75",0.229104704426565,0.113025218935846,0.346539901196375,"White Irish","RII","LLTI"
"0-64",1.30966674467978,1.20483082950097,1.41202670101749,"White Irish","RII","LLTI"
"all",0.837963351125907,0.768999240429019,0.900525935384329,"White Irish","RII","LLTI"
"0-14",1.14801097929996,0.983789611134304,1.32240307426704,"White British","RII","LLTI"
"15-29",0.879444332793664,0.779073150993115,0.982705063715247,"White British","RII","LLTI"
"30-44",1.60966112550633,1.53091529502643,1.69631045110306,"White British","RII","LLTI"
"45-59",1.30360340490197,1.24533398998948,1.36117885372348,"White British","RII","LLTI"
"60-74",0.824480677509808,0.774879843665175,0.873798441859094,"White British","RII","LLTI"
"75",0.22892554690041,0.180964388687682,0.276840095210176,"White British","RII","LLTI"
"0-64",1.26815835962603,1.22881445631758,1.30843302664947,"White British","RII","LLTI"
"all",0.834970285062545,0.807095469019769,0.862870189698188,"White British","RII","LLTI"
"0-14",0.286608485385609,-0.77261231529141,1.26708202715113,"Caribbean","RII","LLTI"
"15-29",0.608378965953369,0.0144751786693369,1.15238666214685,"Caribbean","RII","LLTI"
"30-44",0.908020758617161,0.404958059724894,1.35155541967038,"Caribbean","RII","LLTI"
"45-59",0.636029974756712,0.0770749682886099,1.17022389812323,"Caribbean","RII","LLTI"
"60-74",0.115043447146468,-0.654262488899976,0.79912087207495,"Caribbean","RII","LLTI"
"75",0.308342563487702,-0.638911312214683,1.25717775608204,"Caribbean","RII","LLTI"
"0-64",0.640537454567404,0.304036479896428,0.993052554296452,"Caribbean","RII","LLTI"
"all",0.451010611501315,0.0693238724542305,0.834323358327305,"Caribbean","RII","LLTI"
"0-14",0.369178791865765,0.00850268329242957,0.754221201256367,"Other White","RII","LLTI"
"15-29",0.522755968827547,0.306192538579729,0.73382869017949,"Other White","RII","LLTI"
"30-44",1.16770140650313,1.01443773619108,1.32278902068015,"Other White","RII","LLTI"
"45-59",1.02109905783736,0.860394999119607,1.16875260814179,"Other White","RII","LLTI"
"60-74",0.868690193445565,0.710301863837025,1.0291042093852,"Other White","RII","LLTI"
"75",0.223981309201513,0.050334008679779,0.404116568219646,"Other White","RII","LLTI"
"0-64",0.968585164011168,0.866670109390262,1.0751183367237,"Other White","RII","LLTI"
"all",0.675820421003325,0.591507411279487,0.761773426183709,"Other White","RII","LLTI"
"0-14",-0.115484866211839,-0.580926718089258,0.345022665123733,"White Polish","RII","LLTI"
"15-29",-0.392450807021933,-0.80985693388607,0.00905468945406935,"White Polish","RII","LLTI"
"30-44",0.0418015264996093,-0.249267396272692,0.336039468624975,"White Polish","RII","LLTI"
"45-59",0.41905590183102,0.121944685526725,0.690976364849976,"White Polish","RII","LLTI"
"60-74",0.312266448630877,-0.16245076951012,0.767780023925168,"White Polish","RII","LLTI"
"75",-0.0746039930146787,-0.482762928747921,0.35615789611361,"White Polish","RII","LLTI"
"0-64",0.284953664690434,0.101571429806572,0.47428571835052,"White Polish","RII","LLTI"
"all",0.0654672167001777,-0.167649899136122,0.308367313380907,"White Polish","RII","LLTI"
"0-14",0.895597237461404,0.857987240082174,0.930139587691133,"White Scottish","RII","LLTI"
"15-29",0.761468500048688,0.731914182290338,0.789709834105124,"White Scottish","RII","LLTI"
"30-44",1.39136498440093,1.37135683052757,1.41149321218078,"White Scottish","RII","LLTI"
"45-59",1.34156388209862,1.32697182228067,1.35599969098308,"White Scottish","RII","LLTI"
"60-74",0.882273157926303,0.869356514573817,0.895229387580637,"White Scottish","RII","LLTI"
"75",0.274857242222522,0.260946904793927,0.28778262454556,"White Scottish","RII","LLTI"
"0-64",1.21983704379354,1.20933920756435,1.22959313718562,"White Scottish","RII","LLTI"
"all",0.862545121791093,0.855483143594583,0.869495354043847,"White Scottish","RII","LLTI"
"0-14",0.880537949545018,0.847218455679977,0.9144439587834,"White (total)","RII","LLTI"
"15-29",0.774299649672033,0.749039893774579,0.800918140769998,"White (total)","RII","LLTI"
"30-44",1.41145877708683,1.39278581503106,1.43132691484769,"White (total)","RII","LLTI"
"45-59",1.34650121902877,1.3326083029059,1.36231652922958,"White (total)","RII","LLTI"
"60-74",0.890658648533981,0.877650162274471,0.903241726811731,"White (total)","RII","LLTI"
"75",0.271774756039314,0.258995073964487,0.285949300078907,"White (total)","RII","LLTI"
"0-64",1.22977627629702,1.22098709089635,1.23926511181468,"White (total)","RII","LLTI"
"all",0.863357105123649,0.856549244086767,0.870685925863461,"White (total)","RII","LLTI"
"0-14",0.734311371871671,-0.187417925235436,1.61101140691739,"Chinese","RII","LLTI"
"15-29",0.684031985333567,0.190991506436899,1.10674856693895,"Chinese","RII","LLTI"
"30-44",1.0495203288931,0.604491043656044,1.47035664586387,"Chinese","RII","LLTI"
"45-59",0.435284494875141,0.14371889834224,0.753964515611216,"Chinese","RII","LLTI"
"60-74",0.440799165066945,0.115363056203916,0.760316886694321,"Chinese","RII","LLTI"
"75",0.225187474211193,-0.170802565322265,0.644252976351191,"Chinese","RII","LLTI"
"0-64",0.547061468778687,0.321687746068749,0.774987547353553,"Chinese","RII","LLTI"
"all",0.398811307868549,0.202303345710772,0.595207417911897,"Chinese","RII","LLTI"
"0-14",0.614004026815349,0.214890190780468,1.05113756048406,"Mixed","RII","LLTI"
"15-29",0.349689924950757,-0.00354847044054279,0.721698020156665,"Mixed","RII","LLTI"
"30-44",1.01981302096983,0.661576983040868,1.37602791180985,"Mixed","RII","LLTI"
"45-59",0.995203886214062,0.628652335318197,1.40269184061167,"Mixed","RII","LLTI"
"60-74",0.516985029606205,0.0667673437491797,0.978330964744306,"Mixed","RII","LLTI"
"75",-0.0352355183202822,-0.681623803425285,0.677861676421958,"Mixed","RII","LLTI"
"0-64",0.796054031336141,0.573826907710754,1.04000849515156,"Mixed","RII","LLTI"
"all",0.535842796835779,0.309110183654487,0.796715900433811,"Mixed","RII","LLTI"
"0-14",0.4441927564877,-0.229686575476983,1.14019887605642,"Other","RII","LLTI"
"15-29",0.590562641549246,0.0843470809533639,1.11904695355977,"Other","RII","LLTI"
"30-44",1.09854627452575,0.716934145287021,1.50478629888184,"Other","RII","LLTI"
"45-59",1.08382748828225,0.727035745868945,1.45471660899759,"Other","RII","LLTI"
"60-74",0.706956883111681,0.198425440622848,1.25472176613036,"Other","RII","LLTI"
"75",-0.31695181756653,-0.947471349476583,0.301983381465076,"Other","RII","LLTI"
"0-64",0.969789659661171,0.738027362837762,1.19892306992523,"Other","RII","LLTI"
"all",0.504882075457115,0.235957416725896,0.771472646775322,"Other","RII","LLTI"
"0-14",18.8385828134145,1.22975788541523,35.9638257539943,"African","SII","LLTI"
"15-29",5.62343817236615,-9.52822311010322,18.8213389151855,"African","SII","LLTI"
"30-44",55.0727723620825,37.2642126753009,73.2061784632359,"African","SII","LLTI"
"45-59",86.4094510465133,22.7978370858572,152.854459865542,"African","SII","LLTI"
"60-74",268.058997192677,94.9300388321316,445.303056631503,"African","SII","LLTI"
"75",217.447968801721,-313.937634721957,759.98376911326,"African","SII","LLTI"
"0-64",61.2473389405341,38.0889609136248,87.6407075969582,"African","SII","LLTI"
"all",99.1784627506572,35.9766886319674,165.3749971029,"African","SII","LLTI"
"0-14",9.37906954629226,-5.80881921581754,25.6652639688095,"Indian","SII","LLTI"
"15-29",-2.05399599896897,-15.1106347056896,11.0808515325661,"Indian","SII","LLTI"
"30-44",14.2248428815429,-3.6930471697555,32.5438253670883,"Indian","SII","LLTI"
"45-59",196.688897321242,142.160157161773,254.988007481436,"Indian","SII","LLTI"
"60-74",201.05142623179,88.3640302537108,314.94587454566,"Indian","SII","LLTI"
"75",109.17654727826,-164.179768876114,385.018742609893,"Indian","SII","LLTI"
"0-64",65.9315909781075,44.6916416120524,86.0089385061425,"Indian","SII","LLTI"
"all",82.5356184757507,49.75013570134,114.300857077684,"Indian","SII","LLTI"
"0-14",18.1058067535568,-0.0930178174627942,37.10664338274,"Other Asian","SII","LLTI"
"15-29",11.1657595852789,-5.08135527854451,26.1129458647542,"Other Asian","SII","LLTI"
"30-44",62.6888578561613,42.2483942773622,83.1591979694807,"Other Asian","SII","LLTI"
"45-59",136.580226125028,88.1520178098072,190.619226057325,"Other Asian","SII","LLTI"
"60-74",199.033798453269,41.0138297494016,359.853574128995,"Other Asian","SII","LLTI"
"75",-15.0588471293486,-375.3623829579,369.685105912276,"Other Asian","SII","LLTI"
"0-64",58.3325930560174,37.8475249114728,78.3985358993569,"Other Asian","SII","LLTI"
"all",75.9885784874273,29.5780274012744,123.806299134381,"Other Asian","SII","LLTI"
"0-14",7.45405280714092,-5.81185745765581,19.3642770469038,"Pakistani","SII","LLTI"
"15-29",13.8731515978179,-1.57295523435572,28.3926467800652,"Pakistani","SII","LLTI"
"30-44",82.4270809185407,58.8542495683275,107.625749469926,"Pakistani","SII","LLTI"
"45-59",217.071037061249,164.14759698792,268.506446399014,"Pakistani","SII","LLTI"
"60-74",131.536974194948,22.4323581773932,237.273668573161,"Pakistani","SII","LLTI"
"75",-120.592474560101,-342.738740146161,87.769601852624,"Pakistani","SII","LLTI"
"0-64",97.9789618339167,77.1208691439747,117.304665882942,"Pakistani","SII","LLTI"
"all",75.6037698829715,46.4655894527929,103.641442904834,"Pakistani","SII","LLTI"
"0-14",10.6925044639426,3.01326518488174,18.3829949055901,"Asian (total)","SII","LLTI"
"15-29",10.7177965485117,4.29979480683533,17.0778956369141,"Asian (total)","SII","LLTI"
"30-44",57.6810008543129,47.4157370177204,68.6168584194144,"Asian (total)","SII","LLTI"
"45-59",168.657486800233,141.017333683679,195.455220114862,"Asian (total)","SII","LLTI"
"60-74",160.208844688692,100.181283445891,218.365268373045,"Asian (total)","SII","LLTI"
"75",16.5544432040101,-112.221696266596,144.650624356658,"Asian (total)","SII","LLTI"
"0-64",73.5239374426106,63.0639970001153,83.825367151055,"Asian (total)","SII","LLTI"
"all",75.6275239957159,58.9184773070278,91.8608972646416,"Asian (total)","SII","LLTI"
"0-14",27.0431926365944,1.82690635927008,50.1980665799243,"White Irish","SII","LLTI"
"15-29",51.2379330236606,36.8407685643068,65.9316448612271,"White Irish","SII","LLTI"
"30-44",150.770275999399,132.120370718684,167.625847497349,"White Irish","SII","LLTI"
"45-59",269.098896091196,242.8541028126,297.663673071934,"White Irish","SII","LLTI"
"60-74",305.102590557152,257.806118913568,350.352063816906,"White Irish","SII","LLTI"
"75",158.253583322702,82.5133247289194,242.437758369476,"White Irish","SII","LLTI"
"0-64",143.327314352042,131.852064480275,154.470421284334,"White Irish","SII","LLTI"
"all",163.625751931384,150.656100934576,177.106417387697,"White Irish","SII","LLTI"
"0-14",53.7152120950228,45.7154094250386,61.8658379328451,"White British","SII","LLTI"
"15-29",55.7116157566779,49.3179081674312,62.7014828834043,"White British","SII","LLTI"
"30-44",154.837562258507,146.873021116654,162.607722004745,"White British","SII","LLTI"
"45-59",221.162847810849,211.26653802614,231.689254402052,"White British","SII","LLTI"
"60-74",266.108138602531,250.780545463935,282.413594692993,"White British","SII","LLTI"
"75",149.449700880269,114.472276881901,183.392472170412,"White British","SII","LLTI"
"0-64",139.902109790564,135.612929525869,144.483122722784,"White British","SII","LLTI"
"all",154.537216087291,149.245546864069,160.021794990105,"White British","SII","LLTI"
"0-14",10.7510998153911,-27.0321882834679,48.4934961282136,"Caribbean","SII","LLTI"
"15-29",51.7654073943491,4.25413005791313,98.6355245197625,"Caribbean","SII","LLTI"
"30-44",97.2429767297878,49.5645784208137,144.869290351654,"Caribbean","SII","LLTI"
"45-59",116.895704694225,21.3700028525911,221.241942880552,"Caribbean","SII","LLTI"
"60-74",37.6327049329162,-191.00900018334,279.809384794883,"Caribbean","SII","LLTI"
"75",190.010941408497,-385.097048496398,736.980814615788,"Caribbean","SII","LLTI"
"0-64",76.0076382197376,40.678759748449,114.659928025911,"Caribbean","SII","LLTI"
"all",85.6732954561985,17.6866891991438,160.174794718947,"Caribbean","SII","LLTI"
"0-14",11.1967001021257,0.355494533518252,21.9075005917832,"Other White","SII","LLTI"
"15-29",17.9202439856306,10.1186284702611,25.0996031159517,"Other White","SII","LLTI"
"30-44",81.6044706949136,71.0428382606775,92.4431499573425,"Other White","SII","LLTI"
"45-59",169.552234068254,146.84762361738,193.811899478571,"Other White","SII","LLTI"
"60-74",276.177267300655,222.385829498905,324.219905084642,"Other White","SII","LLTI"
"75",141.751599834668,26.8882892852896,251.037600357695,"Other White","SII","LLTI"
"0-64",90.4082709689123,81.5430371995002,99.5259918537841,"Other White","SII","LLTI"
"all",113.966265686926,98.2605685075422,128.502516173111,"Other White","SII","LLTI"
"0-14",-3.09289360493803,-16.1674500954552,8.63084759325507,"White Polish","SII","LLTI"
"15-29",-11.2090928263489,-22.9402479639002,0.108062613859728,"White Polish","SII","LLTI"
"30-44",2.09149073925414,-12.4998462781627,17.266025926759,"White Polish","SII","LLTI"
"45-59",54.9133389987452,15.9529137133788,88.5511304993708,"White Polish","SII","LLTI"
"60-74",113.173009481285,-57.5458388440395,286.501272970059,"White Polish","SII","LLTI"
"75",-49.0308588106748,-335.409554909301,224.229482187354,"White Polish","SII","LLTI"
"0-64",21.9718647039817,6.52452683215143,36.9736303512133,"White Polish","SII","LLTI"
"all",10.8252037693651,-29.3717410012554,48.7269879430991,"White Polish","SII","LLTI"
"0-14",42.5226504411856,41.0236968744449,44.2163338804145,"White Scottish","SII","LLTI"
"15-29",54.6021316129796,52.5064445793786,56.6375346876478,"White Scottish","SII","LLTI"
"30-44",172.829395575182,170.334288256272,175.266674255606,"White Scottish","SII","LLTI"
"45-59",284.806337508593,281.828045303032,288.092596255569,"White Scottish","SII","LLTI"
"60-74",339.609127225688,334.587289383091,344.557108379725,"White Scottish","SII","LLTI"
"75",185.36330395349,176.474522647268,194.455748012121,"White Scottish","SII","LLTI"
"0-64",164.372368903799,163.084631711499,165.675186364257,"White Scottish","SII","LLTI"
"all",184.014012098803,182.455710880835,185.596271887675,"White Scottish","SII","LLTI"
"0-14",41.305632955422,39.6805143302913,42.902508892648,"White (total)","SII","LLTI"
"15-29",52.5748981805868,50.8177508500166,54.4081850697175,"White (total)","SII","LLTI"
"30-44",166.363959303644,164.162745061927,168.624913965484,"White (total)","SII","LLTI"
"45-59",278.743232442898,275.706567296036,281.665435190977,"White (total)","SII","LLTI"
"60-74",337.149221142164,332.396788100947,341.849744791858,"White (total)","SII","LLTI"
"75",182.842571901593,173.833662887208,191.532381862703,"White (total)","SII","LLTI"
"0-64",160.27980096718,159.143336830592,161.557720085689,"White (total)","SII","LLTI"
"all",180.438904956689,178.995004629463,181.932691322198,"White (total)","SII","LLTI"
"0-14",14.5287798845172,-3.32586475155292,31.8312522174182,"Chinese","SII","LLTI"
"15-29",15.5494931972221,5.34347439036422,25.0359802990758,"Chinese","SII","LLTI"
"30-44",45.8639179563555,26.9193518539853,64.4687980144249,"Chinese","SII","LLTI"
"45-59",57.3767219218669,14.5150962489177,97.4870140734124,"Chinese","SII","LLTI"
"60-74",146.221522432869,44.6628029075226,255.627074579274,"Chinese","SII","LLTI"
"75",130.345910283253,-102.979577875188,351.572403053412,"Chinese","SII","LLTI"
"0-64",39.3364924585903,23.2002453252474,56.7192812463438,"Chinese","SII","LLTI"
"all",59.8028876845107,30.948544723989,92.096945089852,"Chinese","SII","LLTI"
"0-14",26.4826220541065,8.32976846206536,43.718968958169,"Mixed","SII","LLTI"
"15-29",23.2650088983953,0.111426214429244,46.5300544202346,"Mixed","SII","LLTI"
"30-44",128.32348507888,83.8412738435761,173.141223086138,"Mixed","SII","LLTI"
"45-59",235.344979697653,144.515660763847,327.854868451385,"Mixed","SII","LLTI"
"60-74",232.55146604761,23.3524356145486,448.685987796587,"Mixed","SII","LLTI"
"75",-22.6098454232369,-431.491020246073,432.548638686268,"Mixed","SII","LLTI"
"0-64",113.829704608536,78.4119647195241,147.102622552787,"Mixed","SII","LLTI"
"all",120.451532463523,64.0722434910525,181.841729038866,"Mixed","SII","LLTI"
"0-14",16.6640000021664,-11.1110063574734,42.1428608440814,"Other","SII","LLTI"
"15-29",30.0529104205598,2.97001681956261,55.4776619805807,"Other","SII","LLTI"
"30-44",103.013176329969,69.6212708072468,136.082757956143,"Other","SII","LLTI"
"45-59",218.72490373852,152.850318605898,290.446387307154,"Other","SII","LLTI"
"60-74",290.32896652894,49.7035464251735,509.56127560461,"Other","SII","LLTI"
"75",-212.730514251896,-665.708823531834,206.513129157024,"Other","SII","LLTI"
"0-64",114.731647152089,87.8387265110559,143.513560233647,"Other","SII","LLTI"
"all",102.828814833754,46.5423204922952,154.038666535029,"Other","SII","LLTI"
